# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,kills_delta,scarlet_delta,damage_delta
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,20,0,0,20
7,0,0,30,0,0,10
8,0,0,30,0,0,0
9,0,0,40,0,0,10
10,0,0,50,0,0,10
11,1,20,70,1,20,20
12,1,20,80,0,0,10
13,1,20,90,0,0,10
14,1,20,100,0,0,10
15,1,20,100,0,0,0
16,1,20,110,0,0,10
17,1,20,120,0,0,10
18,2,40,150,1,20,30
19,2,40,160,0,0,10
20,2,40,180,0,0,20
21,2,40,180,0,0,0
22,2,40,190,0,0,10
23,3,60,230,1,20,40
24,4,80,270,1,20,40
25,4,80,310,0,0,40
26,5,100,390,1,20,80
27,5,100,390,0,0,0
28,7,140,450,2,40,60
29,7,140,460,0,0,10
30,8,160,480,1,20,20
31,9,180,500,1,20,20
32,9,180,500,0,0,0
33,9,180,500,0,0,0
34,9,180,500,0,0,0
35,9,180,500,0,0,0
36,9,180,511,0,0,11
37,9,180,522,0,0,11
38,9,180,533,0,0,11
39,9,180,555,0,0,22
40,9,180,577,0,0,22
41,9,180,610,0,0,33
42,9,180,643,0,0,33
43,9,180,643,0,0,0
44,9,180,654,0,0,11
45,9,180,665,0,0,11
46,11,220,778,2,40,113
47,13,260,792,2,40,14
48,15,300,838,2,40,46
49,16,320,855,1,20,17
50,17,340,872,1,20,17
51,17,340,872,0,0,0
52,17,340,872,0,0,0
53,17,340,894,0,0,22
54,17,340,894,0,0,0
55,17,340,894,0,0,0
56,17,340,894,0,0,0
57,17,340,894,0,0,0
58,17,340,894,0,0,0
59,17,340,894,0,0,0
60,17,340,894,0,0,0
61,17,340,905,0,0,11
62,17,340,927,0,0,22
63,18,360,955,1,20,28
64,18,360,999,0,0,44
65,18,360,1065,0,0,66
66,19,380,1104,1,20,39
67,21,420,1116,2,40,12
68,21,420,1138,0,0,22
69,21,420,1160,0,0,22
70,21,420,1182,0,0,22
71,22,440,1210,1,20,28
72,23,460,1238,1,20,28
73,23,460,1249,0,0,11
74,23,460,1249,0,0,0
75,23,460,1260,0,0,11
76,23,460,1271,0,0,11
77,23,460,1271,0,0,0
78,24,484,1273,1,24,2
79,24,484,1295,0,0,22
80,24,484,1306,0,0,11
81,26,524,1373,2,40,67
82,26,524,1384,0,0,11
83,26,524,1406,0,0,22
84,26,524,1428,0,0,22
85,26,524,1428,0,0,0
86,26,524,1439,0,0,11
87,26,524,1439,0,0,0
88,26,524,1439,0,0,0
89,26,524,1439,0,0,0
90,26,524,1439,0,0,0
91,26,524,1463,0,0,24
92,28,564,1512,2,40,48
93,28,564,1560,0,0,48
94,31,624,1601,3,60,41
95,31,624,1601,0,0,0
96,31,624,1601,0,0,0
97,31,624,1601,0,0,0
98,31,624,1601,0,0,0
99,31,624,1601,0,0,0
100,31,624,1601,0,0,0
101,31,624,1625,0,0,24
102,31,624,1674,0,0,48
103,31,624,1674,0,0,0
104,31,624,1686,0,0,12
105,32,648,1709,1,24,23
106,33,668,1710,1,20,2
107,33,668,1734,0,0,24
108,34,688,1736,1,20,2
109,34,688,1736,0,0,0
110,34,688,1736,0,0,0
111,34,688,1736,0,0,0
112,34,688,1736,0,0,0
113,34,688,1736,0,0,0
114,34,688,1736,0,0,0
115,34,688,1736,0,0,0
116,34,688,1736,0,0,0
117,34,688,1760,0,0,24
118,34,688,1784,0,0,24
119,34,688,1784,0,0,0
120,35,712,1808,1,24,24
121,35,712,1833,0,0,24
122,35,712,1833,0,0,0
123,35,712,1833,0,0,0
124,36,736,1870,1,24,37
125,37,760,1906,1,24,36
126,37,760,1906,0,0,0
127,39,808,1942,2,48,36
128,39,808,1942,0,0,0
129,39,808,1942,0,0,0
130,39,808,1942,0,0,0
131,40,808,1980,1,0,38
132,40,808,2052,0,0,73
133,40,808,2052,0,0,0
134,40,808,2089,0,0,36
135,40,808,2089,0,0,0
136,40,808,2125,0,0,36
137,40,808,2125,0,0,0
138,40,808,2125,0,0,0
139,40,808,2125,0,0,0
140,40,808,2125,0,0,0
141,40,808,2161,0,0,36
142,40,808,2161,0,0,0
143,41,808,2188,1,0,27
144,44,868,2292,3,60,104
145,44,868,2331,0,0,40
146,44,868,2331,0,0,0
147,44,868,2358,0,0,26
148,44,868,2358,0,0,0
149,44,868,2358,0,0,0
150,44,868,2397,0,0,40
151,44,868,2397,0,0,0
152,44,868,2397,0,0,0
153,44,868,2397,0,0,0
154,44,868,2397,0,0,0
155,44,868,2397,0,0,0
156,44,868,2397,0,0,0
157,44,868,2397,0,0,0
158,44,868,2397,0,0,0
159,44,868,2397,0,0,0
160,44,868,2397,0,0,0
161,44,868,2397,0,0,0
162,44,868,2397,0,0,0
163,46,908,2458,2,40,60
164,46,908,2537,0,0,79
165,47,928,2547,1,20,10
166,49,968,2628,2,40,80
167,50,988,2678,1,20,50
168,51,1008,2678,1,20,1
169,53,1048,2699,2,40,21
170,53,1048,2699,0,0,0
171,53,1048,2752,0,0,53
172,54,1068,2828,1,20,76
173,55,1088,2839,1,20,10
174,56,1108,2889,1,20,50
175,56,1108,2889,0,0,0
176,57,1128,2939,1,20,50
177,59,1136,2959,2,8,21
178,59,1136,2959,0,0,0
179,60,1136,2970,1,0,10
180,60,1136,3009,0,0,40
181,60,1136,3009,0,0,0
182,60,1136,3009,0,0,0
183,61,1136,3020,1,0,10
184,61,1136,3020,0,0,0
185,61,1136,3020,0,0,0
186,61,1136,3020,0,0,0
187,61,1136,3020,0,0,0
188,61,1136,3020,0,0,0
189,61,1136,3020,0,0,0
190,61,1136,3020,0,0,0
