# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,20,0,0,0,20,0
5,0,0,40,0,0,0,20,0
6,1,20,50,2,1,20,10,2
7,1,20,50,2,0,0,0,0
8,1,20,50,2,0,0,0,0
9,1,20,50,2,0,0,0,0
10,1,20,60,2,0,0,10,0
11,1,20,70,2,0,0,10,0
12,1,20,90,2,0,0,20,0
13,1,20,100,2,0,0,10,0
14,2,40,110,4,1,20,10,2
15,2,40,130,4,0,0,20,0
16,2,40,160,4,0,0,30,0
17,2,40,180,4,0,0,20,0
18,3,60,200,6,1,20,20,2
19,4,80,230,8,1,20,30,2
20,4,80,250,8,0,0,20,0
21,4,80,260,8,0,0,10,0
22,4,80,300,8,0,0,40,0
23,5,100,360,10,1,20,60,2
24,5,100,400,10,0,0,40,0
25,6,120,420,10,1,20,20,0
26,6,120,430,10,0,0,10,0
27,6,120,450,10,0,0,20,0
28,8,160,500,12,2,40,50,2
29,8,160,530,12,0,0,30,0
30,8,160,540,12,0,0,10,0
31,10,200,580,12,2,40,40,0
32,11,220,630,14,1,20,50,2
33,11,220,650,14,0,0,20,0
34,11,220,660,14,0,0,10,0
35,13,260,700,14,2,40,40,0
36,13,260,710,14,0,0,10,0
37,13,260,730,14,0,0,20,0
38,13,260,750,14,0,0,20,0
39,13,260,750,14,0,0,0,0
40,13,260,750,14,0,0,0,0
41,13,260,750,14,0,0,0,0
42,13,260,750,14,0,0,0,0
43,13,260,750,14,0,0,0,0
44,13,260,761,14,0,0,11,0
45,13,260,761,20,0,0,0,6
46,13,260,761,22,0,0,0,2
47,13,260,761,24,0,0,0,2
48,13,260,772,24,0,0,11,0
49,13,260,805,26,0,0,33,2
50,14,280,825,26,1,20,20,0
51,16,320,843,26,2,40,18,0
52,16,320,843,26,0,0,0,0
53,16,320,843,26,0,0,0,0
54,16,320,843,26,0,0,0,0
55,16,320,854,30,0,0,11,4
56,16,320,865,32,0,0,11,2
57,16,320,865,32,0,0,0,0
58,16,320,865,32,0,0,0,0
59,16,320,865,32,0,0,0,0
60,16,320,865,32,0,0,0,0
61,16,320,865,32,0,0,0,0
62,16,320,865,32,0,0,0,0
63,16,320,887,32,0,0,22,0
64,16,320,887,32,0,0,0,0
65,16,320,909,32,0,0,22,0
66,16,320,920,32,0,0,11,0
67,16,320,953,32,0,0,33,0
68,17,344,967,34,1,24,14,2
69,17,344,967,34,0,0,0,0
70,17,344,978,34,0,0,11,0
71,18,364,1039,34,1,20,61,0
72,18,364,1116,34,0,0,77,0
