# 逐秒监控 (t_sec=游戏开始后整秒; *_cum=累计; *_delta=该秒增量; boss_guard=该秒末Boss格挡条当前值; boss_dmg_*=对Boss输出,由格挡条下降量反推)
t_sec,kills_cum,scarlet_cum,damage_cum,coin_cum,kills_delta,scarlet_delta,damage_delta,coin_delta,boss_guard,boss_dmg_cum,boss_dmg_delta
0,0,0,0,0,0,0,0,0,500,0,0
1,0,0,0,0,0,0,0,0,500,0,0
2,0,0,0,0,0,0,0,0,500,0,0
3,0,0,0,0,0,0,0,0,500,0,0
4,0,0,0,3,0,0,0,3,500,0,0
5,0,0,0,9,0,0,0,6,500,0,0
6,0,0,0,9,0,0,0,0,500,0,0
7,0,0,70,9,0,0,70,0,470,30,30
8,0,0,160,9,0,0,90,0,450,50,20
9,0,0,230,9,0,0,70,0,430,70,20
10,0,0,270,9,0,0,40,0,420,80,10
11,0,0,290,9,0,0,20,0,420,80,0
12,0,0,320,9,0,0,30,0,420,80,0
13,1,5,370,11,1,5,50,2,420,80,0
14,1,5,400,11,0,0,30,0,420,80,0
15,2,10,460,11,1,5,60,0,420,80,0
16,3,15,521,11,1,5,60,0,420,80,0
17,3,15,541,11,0,0,20,0,420,80,0
18,4,20,611,13,1,5,70,2,420,80,0
19,6,30,642,15,2,10,31,2,420,80,0
20,7,35,692,15,1,5,50,0,420,80,0
21,7,35,742,15,0,0,50,0,420,80,0
22,7,35,772,15,0,0,30,0,420,80,0
23,8,40,823,21,1,5,51,6,420,80,0
24,8,40,833,30,0,0,10,9,420,80,0
25,9,45,844,30,1,5,11,0,421,80,0
26,11,55,874,32,2,10,31,2,421,80,0
27,12,60,885,32,1,5,11,0,421,80,0
28,12,60,905,32,0,0,20,0,421,80,0
29,13,66,960,40,1,6,55,8,421,80,0
30,13,66,990,42,0,0,30,2,421,80,0
31,14,71,1021,42,1,5,31,0,421,80,0
32,15,76,1051,42,1,5,31,0,421,80,0
33,16,81,1052,42,1,5,1,0,421,80,0
34,16,81,1052,44,0,0,0,2,421,80,0
35,16,81,1082,50,0,0,30,6,422,80,0
36,16,81,1102,50,0,0,20,0,422,80,0
37,17,86,1104,52,1,5,1,2,422,80,0
38,17,86,1144,52,0,0,40,0,422,80,0
39,17,86,1174,52,0,0,30,0,422,80,0
40,18,92,1200,52,1,6,26,0,422,80,0
41,18,92,1200,52,0,0,0,0,422,80,0
42,18,92,1220,54,0,0,20,2,422,80,0
43,18,92,1250,54,0,0,30,0,422,80,0
44,19,98,1285,56,1,6,36,2,422,80,0
45,19,98,1305,56,0,0,20,0,423,80,0
46,20,103,1347,60,1,5,42,4,423,80,0
47,20,103,1357,60,0,0,10,0,423,80,0
48,20,103,1397,60,0,0,40,0,423,80,0
49,20,103,1397,60,0,0,0,0,423,80,0
50,22,115,1438,60,2,12,42,0,423,80,0
51,23,120,1525,60,1,5,87,0,423,80,0
52,23,120,1525,60,0,0,0,0,423,80,0
53,26,135,1545,60,3,15,20,0,423,80,0
54,28,147,1632,60,2,12,88,0,423,80,0
55,28,147,1632,60,0,0,0,0,424,80,0
56,29,152,1685,60,1,5,52,0,424,80,0
57,30,158,1721,60,1,6,36,0,424,80,0
58,30,158,1721,60,0,0,0,0,424,80,0
59,34,181,1826,60,4,23,105,0,424,80,0
60,34,181,1826,60,0,0,0,0,424,80,0
61,34,181,1871,60,0,0,45,0,424,80,0
62,34,181,1916,60,0,0,45,0,379,125,45
63,34,181,1916,60,0,0,0,0,379,125,0
64,34,181,1961,60,0,0,45,0,334,170,45
65,34,181,2006,60,0,0,45,0,289,215,45
66,34,181,2051,60,0,0,45,0,289,215,0
67,34,181,2096,60,0,0,45,0,244,260,45
68,35,186,2149,62,1,5,53,2,199,305,45
69,35,186,2149,62,0,0,0,0,199,305,0
70,35,186,2239,62,0,0,90,0,154,350,45
71,37,196,2300,62,2,10,60,0,154,350,0
72,37,196,2300,62,0,0,0,0,154,350,0
73,38,202,2381,62,1,6,82,0,154,350,0
74,39,207,2434,62,1,5,53,0,154,350,0
75,39,207,2434,62,0,0,0,0,154,350,0
76,41,217,2495,64,2,10,61,2,154,350,0
77,43,229,2568,64,2,12,73,0,154,350,0
78,43,229,2568,64,0,0,0,0,154,350,0
79,43,229,2568,64,0,0,0,0,154,350,0
80,44,235,2605,64,1,6,37,0,154,350,0
81,44,235,2650,64,0,0,45,0,109,395,45
82,44,235,2695,64,0,0,45,0,64,440,45
83,44,235,2695,64,0,0,0,0,64,440,0
84,44,235,2740,64,0,0,45,0,19,485,45
85,44,235,2759,64,0,0,19,0,0,504,19
86,44,235,2759,64,0,0,0,0,0,504,0
87,45,240,2767,64,1,5,8,0,0,504,0
88,47,252,2886,64,2,12,119,0,0,504,0
89,47,252,2886,66,0,0,0,2,0,504,0
90,47,252,2931,66,0,0,45,0,0,504,0
91,47,252,3021,66,0,0,90,0,0,504,0
92,47,252,3021,66,0,0,0,0,0,504,0
93,48,257,3210,66,1,5,188,0,0,504,0
94,48,257,3210,66,0,0,0,0,0,504,0
95,48,257,3210,66,0,0,0,0,0,504,0
96,48,257,3210,66,0,0,0,0,0,504,0
97,49,257,3221,66,1,0,11,0,0,504,0
98,49,257,3221,66,0,0,0,0,0,504,0
99,49,257,3246,66,0,0,25,0,0,504,0
100,49,257,3309,66,0,0,63,0,0,504,0
101,49,257,3318,66,0,0,9,0,0,504,0
102,49,257,3384,66,0,0,66,0,0,504,0
103,49,257,3400,66,0,0,16,0,0,504,0
104,49,257,3412,66,0,0,12,0,0,504,0
105,50,263,3465,66,1,6,53,0,0,504,0
106,50,263,3576,66,0,0,111,0,0,504,0
107,50,263,3594,66,0,0,18,0,0,504,0
108,50,263,3651,66,0,0,57,0,0,504,0
109,52,274,3752,66,2,11,101,0,0,504,0
110,53,279,3778,66,1,5,26,0,0,504,0
111,54,284,3795,66,1,5,17,0,0,504,0
112,59,309,3917,66,5,25,121,0,0,504,0
113,59,309,3923,66,0,0,6,0,0,504,0
114,61,319,4111,66,2,10,188,0,0,504,0
115,62,325,4194,66,1,6,83,0,0,504,0
116,62,325,4194,66,0,0,0,0,0,504,0
117,63,330,4200,66,1,5,6,0,0,504,0
118,63,330,4200,70,0,0,0,4,0,504,0
119,64,335,4200,72,1,5,0,2,0,504,0
120,66,347,4251,84,2,12,51,12,0,504,0
121,66,347,4251,84,0,0,0,0,0,504,0
122,66,347,4296,88,0,0,45,4,0,504,0
123,66,347,4296,88,0,0,0,0,0,504,0
124,66,347,4302,88,0,0,6,0,0,504,0
125,67,352,4403,88,1,5,102,0,0,504,0
126,68,357,4493,88,1,5,90,0,0,504,0
127,68,357,4493,88,0,0,0,0,0,504,0
128,68,357,4637,88,0,0,144,0,0,504,0
129,68,357,4885,88,0,0,248,0,0,504,0
130,68,357,4945,88,0,0,60,0,0,504,0
131,68,357,5065,92,0,0,120,4,0,504,0
132,68,357,5110,92,0,0,45,0,0,504,0
133,68,357,5185,92,0,0,75,0,0,504,0
134,68,357,5200,92,0,0,15,0,0,504,0
135,68,357,5200,92,0,0,0,0,0,504,0
136,70,369,5363,94,2,12,163,2,0,504,0
137,70,369,5486,94,0,0,123,0,0,504,0
138,71,374,5672,94,1,5,186,0,0,504,0
139,72,379,5756,96,1,5,84,2,0,504,0
140,72,379,5876,96,0,0,120,0,0,504,0
141,72,379,5936,96,0,0,60,0,0,504,0
142,72,379,6041,96,0,0,105,0,0,504,0
143,72,379,6146,96,0,0,105,0,0,504,0
144,72,379,6209,96,0,0,63,0,0,504,0
145,72,379,6320,96,0,0,111,0,0,504,0
146,73,385,6476,96,1,6,156,0,0,504,0
147,73,385,6650,96,0,0,174,0,0,504,0
148,75,396,6781,98,2,11,131,2,0,504,0
149,76,401,6906,100,1,5,125,2,0,504,0
150,76,401,7008,100,0,0,102,0,0,504,0
151,76,401,7132,100,0,0,124,0,0,504,0
152,76,401,7288,100,0,0,156,0,0,504,0
153,76,401,7324,100,0,0,36,0,0,504,0
154,76,401,7391,100,0,0,67,0,0,504,0
155,76,401,7567,100,0,0,176,0,0,504,0
156,76,401,7615,104,0,0,48,4,0,504,0
